stop_id,stop_code,stop_name,stop_lat,stop_long
213,CTA1732,Picasso,,
214,CTA1566,Pierre Lise,,
215,CTA1678,Place de l'Europe,,
216,CTA1575,Place du Lycée,,
217,CTA2358,Place Hérault,,
218,CTA2346,Place La Fayette,,
219,CTA167,Place Ney,,
220,CTA2294,Plantagenêt,,
221,CTA1574,Plateau du Maine,,
222,CTA1577,Poirel,,
223,CTA2125,Poissonnerie,,
224,CTA187,Pomone,,
225,CTA1580,Pont Noir,,
226,CTA2449,Proudhon,,
227,CTA1585,Puy Garnier,,
228,CTA2320,Pôle Tassigny,,
229,CTA2450,Rabelais,,
230,CTA2463,Ralliement,,
231,CTA1588,Ramon,,
232,CTA1590,Raspail,,
233,CTA2082,Rennes,,
234,CTA97,Restaurant Universitaire,,
235,CTA2451,Robin,,
236,CTA1595,Roc Epine,,
238,CTA1681,Roseraie Gaubourgs,,
239,CTA2482,Route d'Epinard,,
240,CTA1591,Route de Briollay,,
241,CTA137,Route de Paris,,
242,CTA102,République,,
243,CTA1593,Rêveries,,
244,CTA1612,Savary,,
245,CTA1614,Scania,,
246,CTA2376,Schuman,,
247,CTA1616,Schweitzer,,
248,CTA1621,Shakespeare,,
249,CTA1623,Soleil Levant,,
250,CTA1628,St Exupéry,,
251,CTA89,St Jacques,,
252,CTA1629,St Jean,,
253,CTA1349,St Joseph,,
254,CTA1226,St Laurent,,
255,CTA1630,St Léonard,,
256,CTA1418,St Nicolas,,
257,CTA2404,St Serge - Université,,
258,CTA1608,Ste Croix,,
259,CTA1402,Ste Marie,,
260,CTA1634,Ste Thérèse,,
261,CTA78,Strasbourg,,
262,CTA1619,Sécurité Sociale,,
263,CTA1635,Talet,,
264,CTA2461,Terra Botanica,,
265,CTA2452,Thuleau,,
266,CTA87,Trinité,,
267,CTA1642,Vaillante,,
268,CTA56,Val de Loire,,
269,CTA1645,Valentin Hauy,,
270,CTA1647,Vallon,,
271,CTA2629,Vandellant,,
272,CTA1649,Vauban,,
273,CTA1650,Vaugareau,,
274,CTA2453,Verneau,,
275,CTA2414,Victor Bernier,,
276,CTA1659,Villechien,,
277,CTA68,Villesicard,,
278,CTA1661,Viviers,,
279,CTA1325,Volney,,
280,CTA2469,Voltaire,,
281,CTA1238,Wigan,,
282,CTA2419,Acacias,,
283,CTA2464,Avrillé - Ardenne,,
284,CTA103,Avrillé Adezière,,
285,CTA1611,Avrillé Salette,,
286,CTA2457,Bascule,,
287,CTA107,Basse Lande,,
288,CTA1281,Beurrière,,
289,CTA2459,Bois du Roy,,
290,CTA1290,Brassens,,
291,CTA1253,Champ Des Martyrs,,
292,CTA2211,Chateau de la Plesse,,
293,CTA1339,Cimetière d'Avrillé,,
294,CTA1348,Clinique Saint Didier,,
296,CTA175,Croix Cadeau,,
297,CTA1560,Espace Jeunesse,,
298,CTA1327,Grandmont,,
299,CTA1456,Intermarché Avrillé,,
300,CTA1476,Kennedy,,
